Query_ID	Target_ID	Optimal_offset	p-value	Correlation	q-value	Orientation
0	hoxd4a	.	8.218098874637201e-05	8.218098874637201e-05	0.009697356672071897	.
0	gata5	.	3.4700639565035104e-05	3.4700639565035104e-05	0.009697356672071897	.
0	hoxb6a+hoxb6b	.	6.36843192309329e-05	6.36843192309329e-05	0.009697356672071897	.
0	gata4	.	1.9988213981290632e-05	1.9988213981290632e-05	0.009697356672071897	.
0	lmx1ba+lmx1bb	.	6.857977853072803e-05	6.857977853072803e-05	0.009697356672071897	.
0	msx2b	.	0.00011396384000689219	0.00011396384000689219	0.011206444267344398	.
0	lmx1al	.	0.00014602411614270117	0.00014602411614270117	0.01230774693202767	.
0	lhx2a	.	0.00017150865067217127	0.00017150865067217127	0.012648762987072631	.
0	si:dkey-43p13.5+uncx	.	0.00019306227170993827	0.00019306227170993827	0.01265630447876262	.
0	uncx4.1	.	0.000246659179046501	0.000246659179046501	0.01455289156374356	.
0	shox	.	0.00028976292656822156	0.00028976292656822156	0.015541829697750064	.
0	shox2	.	0.0004039957270026121	0.0004039957270026121	0.019863123244295094	.
0	dlx4a+dlx4b+dlx6a	.	0.0006649691516618008	0.0006649691516618008	0.02636455732983308	.
0	meox2b	.	0.0006460704121810241	0.0006460704121810241	0.02636455732983308	.
0	dlx2a+dlx2b	.	0.0006702853558432139	0.0006702853558432139	0.02636455732983308	.
0	nkx6.1	.	0.000930584246919118	0.000930584246919118	0.02745223528411398	.
0	otx2b	.	0.0007923937197764055	0.0007923937197764055	0.02745223528411398	.
0	vsx1	.	0.0007505965718159806	0.0007505965718159806	0.02745223528411398	.
0	msx1a	.	0.0008932812050092475	0.0008932812050092475	0.02745223528411398	.
0	isl1+isl1l	.	0.0008774702878115428	0.0008774702878115428	0.02745223528411398	.
0	tead3a+tead3b	.	0.0011580625377652926	0.0011580625377652926	0.032536042727691554	.
0	gata3	.	0.0013658945821159473	0.0013658945821159473	0.03663080924765495	.
0	bsx+nanog	.	0.001482523337805984	0.001482523337805984	0.03802994649154481	.
0	gata1a+gata2b	.	0.0015621758656722369	0.0015621758656722369	0.038403490031109155	.
0	nkx2.3+nkx2.7	.	0.0017219814858281024	0.0017219814858281024	0.04063876306554322	.
0	maff+mafga+mafgb	.	0.0021432270111266197	0.0021432270111266197	0.047098402671185494	.
0	nfe2l1b+nfe2l2b	.	0.0021553506307152685	0.0021553506307152685	0.047098402671185494	.
2	sp1	.	3.7162024178431925e-13	3.7162024178431925e-13	2.1925594265274836e-10	.
2	znf740a+znf740b	.	3.3849102999497156e-11	3.3849102999497156e-11	9.98548538485166e-09	.
2	klf4	.	1.2306812391641253e-08	1.2306812391641253e-08	2.420339770356113e-06	.
2	rsl1d1+sp3a	.	1.9632571700401585e-08	1.9632571700401585e-08	2.895804325809234e-06	.
2	sp8a+sp8b	.	4.4956114723951376e-08	4.4956114723951376e-08	5.304821537426263e-06	.
2	zic2a+zic2b	.	4.97692550248369e-07	4.97692550248369e-07	4.8939767441089614e-05	.
2	gli2a+gli3	.	9.493379734141712e-07	9.493379734141712e-07	7.996285587019009e-05	.
2	klf5l+klf6a+klf6b	.	1.0842421134941028e-06	1.0842421134941028e-06	7.996285587019009e-05	.
2	tfdp1a+tfdp1b	.	3.25305141285491e-06	3.25305141285491e-06	0.00021325559262048855	.
2	e2f1	.	6.2286419145908065e-06	6.2286419145908065e-06	0.0003674898729608576	.
2	zic3	.	1.3321103597079681e-05	1.3321103597079681e-05	0.0007144955565706373	.
2	ikzf1	.	5.207741652478417e-05	5.207741652478417e-05	0.0025604729791352215	.
2	snai1b+snai3	.	0.0001289288183824461	0.0001289288183824461	0.005851384834280246	.
2	rcor1	.	0.00016365551813024297	0.00016365551813024297	0.0068969111212030965	.
2	mta3	.	0.00025142325878725423	0.00025142325878725423	0.009889314845632	.
2	egr1	.	0.0004163141409093749	0.0004163141409093749	0.01420671741222068	.
2	snai1a	.	0.0003959816747891926	0.0003959816747891926	0.01420671741222068	.
2	zbtb7a+zbtb7c	.	0.0004334252769830038	0.0004334252769830038	0.01420671741222068	.
2	si:dkey-229b18.3+snai2	.	0.0005651545006894555	0.0005651545006894555	0.017549534495093617	.
2	mespaa+mespab+mespba+mespbb	.	0.0006265481398987207	0.0006265481398987207	0.018483170127012262	.
2	mbd2	.	0.001210837709725973	0.001210837709725973	0.034018773749444	.
2	si:ch211-69l10.4+tbx15	.	0.001545877977923817	0.001545877977923817	0.04145763668068418	.
2	figla	.	0.0017719579843542895	0.0017719579843542895	0.04545457438126221	.
2	gcm2	.	0.0020439811949419105	0.0020439811949419105	0.04568977910508698	.
2	atf5a+atf5b	.	0.0019678516330584716	0.0019678516330584716	0.04568977910508698	.
2	tcf12	.	0.002090888196334489	0.002090888196334489	0.04568977910508698	.
2	mecp2	.	0.0020441155237925436	0.0020441155237925436	0.04568977910508698	.
2	bcl11aa+znf296	.	0.0023209850666551903	0.0023209850666551903	0.04890647104737723	.
3	znf740a+znf740b	.	1.1112133802217405e-09	1.1112133802217405e-09	6.556158943308269e-07	.
3	egr2a+egr2b	.	4.105200976410377e-09	4.105200976410377e-09	1.2110342880410612e-06	.
3	egr1	.	4.3665257886432546e-07	4.3665257886432546e-07	8.587500717665067e-05	.
3	tfdp1a+tfdp1b	.	6.953644169757416e-07	6.953644169757416e-07	0.00010256625150392189	.
3	zic2a+zic2b	.	1.1723317621258647e-06	1.1723317621258647e-06	0.00013833514793085204	.
3	patz1	.	1.4864660351362287e-06	1.4864660351362287e-06	0.00014616916012172917	.
3	plag1+plagx	.	2.459361067899201e-06	2.459361067899201e-06	0.00020728900429436124	.
3	e2f6	.	3.729219521319124e-06	3.729219521319124e-06	0.00025518734229338253	.
3	klf5l+klf6a+klf6b	.	3.892688272271937e-06	3.892688272271937e-06	0.00025518734229338253	.
3	zic3	.	5.474571820002125e-06	5.474571820002125e-06	0.00032299973738012536	.
3	ikzf1	.	9.101665067484852e-06	9.101665067484852e-06	0.00048818021725600567	.
3	insm1a+insm1b	.	2.8828422962819827e-05	2.8828422962819827e-05	0.0013526683957863208	.
3	sp1	.	2.9804557873257916e-05	2.9804557873257916e-05	0.0013526683957863208	.
3	gcm2	.	6.577993733901527e-05	6.577993733901527e-05	0.002772154502144215	.
3	snai1b+snai3	.	0.00010451996894607053	0.00010451996894607053	0.0038541738548863507	.
3	snai1a	.	0.00010169650532256524	0.00010169650532256524	0.0038541738548863507	.
3	si:ch211-69l10.4+tbx15	.	0.00013763586457367794	0.00013763586457367794	0.004511397783248333	.
3	mespaa+mespab+mespba+mespbb	.	0.0001338213978069096	0.0001338213978069096	0.004511397783248333	.
3	si:dkey-229b18.3+snai2	.	0.00017606189933949386	0.00017606189933949386	0.00546718529527902	.
